pressure(GPa),a(A),esd_a,c(A),esd_c,vol(A^3),esd_vol,phase,file_no,weight fraction(%),error_wt
0.05,,,,,,,,1,,
5.92,,,,,,,,2,,
9.4,,,,,,,,3,,
18.16,,,,,,,,4,,
24.04,,,,,,,,5,,
27.99,,,,,,,,6,,
35.52,,,,,,,,7,,
40.5,,,,,,,,8,,
47.5,,,,,,,,9,,
48.35,,,,,,,,10,,
55.43,,,,,,,191,11,0.081511369,0.007571542
58.6,,,,,,,191,12,0.156638441,0.006793542
62.4,,,,,,,191,13,0.229652437,0.007745917
65.25,,,,,,,191,14,0.32139089,0.008831145
67.97,,,,,,,191,15,0.34562361,0.009169209
71.22,,,,,,,191,16,0.429067776,0.009374931
73.38,,,,,,,191,17,0.49718316,0.009548013
55.91,,,,,,,191,18,0.606236367,0.010090482
47.85,,,,,,,191,19,0.593157223,0.010816238
36,,,,,,,191,20,0.482204843,0.009942779
24.37,,,,,,,191,21,0.404026339,0.010490026
55.43,,,,,,,166,11,0.918488631,0.007571542
58.6,,,,,,,166,12,0.843361559,0.006793542
62.4,,,,,,,166,13,0.770347563,0.007745917
65.25,,,,,,,166,14,0.67860911,0.008831145
67.97,,,,,,,166,15,0.65437639,0.009169209
71.22,,,,,,,166,16,0.570932224,0.009374931
73.38,,,,,,,166,17,0.50281684,0.009548013
55.91,,,,,,,166,18,0.393763633,0.010090482
47.85,,,,,,,166,19,0.406842777,0.010816238
36,,,,,,,166,20,0.517795157,0.009942779
24.37,,,,,,,166,21,0.595973661,0.010490026
