x,y_obs,weight,y_calc,y_bkg,Q
1.31866,112.735,0.00887037,0,0,0.350009
1.33766,106.803,0.00936304,0,0,0.355051
1.35666,111.804,0.00894425,0,0,0.360093
1.37567,117.147,0.00853631,0,0,0.365136
1.39467,119.955,0.00833648,0,0,0.370178
1.41367,123.451,0.0081004,0,0,0.37522
1.43268,125.893,0.00794327,0,0,0.380263
1.45168,127.87,0.00782045,0,0,0.385305
1.47068,128.538,0.00777977,0,0,0.390347
1.48969,130.396,0.00766894,0,0,0.395389
1.50869,132.73,0.00753408,0,0,0.400432
1.52769,133.783,0.00747478,0,0,0.405474
1.5467,134.491,0.00743546,0,0,0.410516
1.5657,134.311,0.00744539,0,0,0.415558
1.5847,134.998,0.00740753,0,0,0.4206
1.60371,136.155,0.00734459,0,0,0.425642
1.62271,137.248,0.00728608,0,0,0.430685
1.64171,137.266,0.00728513,0,0,0.435727
1.66072,136.934,0.00730277,0,0,0.440769
1.67972,137.187,0.00728932,0,0,0.445811
1.69872,138.824,0.00720334,0,0,0.450853
1.71773,139.704,0.00715799,0,0,0.455895
1.73673,140.308,0.00712717,0,0,0.460937
1.75573,139.843,0.00715085,0,0,0.465979
1.77474,140.689,0.00710786,0,0,0.471021
1.79374,141.606,0.00706183,0,0,0.476063
1.81274,142.34,0.00702542,0,0,0.481105
1.83175,142.739,0.00700579,0,0,0.486147
1.85075,143.319,0.00697745,0,0,0.491189
1.86975,144.743,0.00690882,0,0,0.496231
1.88876,145.847,0.00685651,0,0,0.501273
1.90776,146.391,0.00683101,0,0,0.506315
1.92676,147.018,0.00680187,0,0,0.511357
1.94576,146.986,0.00680337,0,0,0.516399
1.96477,147.772,0.00676718,0,0,0.521441
1.98377,148.386,0.00673916,0,0,0.526483
2.00277,149.521,0.006688,0,0,0.531525
2.02178,150.204,0.00665762,0,0,0.536567
2.04078,150.752,0.00663343,0,0,0.541609
2.05978,150.863,0.00662855,0,0,0.546651
2.07879,151.81,0.00658717,0,0,0.551692
2.09779,151.887,0.00658383,0,0,0.556734
