[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1657387168.784000 7/9/2022, 1:19:28 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.53,  Build 056

INFO, NAME, 0395_Mn
INFO, WEIGHT, 21.480
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: 0395_Mn5_220709.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1657387168.782,,1.000000e+002,5.002314e+000,3.230414e-002,1.319381e-004,3,9.675889e-001,4.084247e-001,,,,,,,,,,,,,,48,2,4.000000e+000,1.357794e-002,0.000000e+000,0,,0,
1657387426.963,,1.000000e+002,1.000019e+001,5.598803e-002,3.201843e-005,3,9.652750e-001,5.718800e-002,,,,,,,,,,,,,,48,2,4.000000e+000,3.884315e-003,0.000000e+000,0,,0,
1657387669.056,,1.000000e+002,1.499860e+001,6.201324e-002,1.206454e-006,3,9.647113e-001,1.945477e-003,,,,,,,,,,,,,,48,2,4.000000e+000,2.300262e-003,0.000000e+000,0,,0,
1657387894.801,,1.000000e+002,1.999851e+001,6.477239e-002,5.616067e-006,3,9.644932e-001,8.670465e-003,,,,,,,,,,,,,,48,2,4.000000e+000,4.650116e-003,0.000000e+000,0,,0,
1657388109.572,,1.000000e+002,2.500041e+001,6.239429e-002,3.105697e-006,3,9.647191e-001,4.977534e-003,,,,,,,,,,,,,,48,2,4.000000e+000,7.989883e-003,0.000000e+000,0,,0,
1657388308.105,,1.000000e+002,3.000093e+001,5.478266e-002,3.967072e-006,3,9.654092e-001,7.241474e-003,,,,,,,,,,,,,,48,2,4.000000e+000,4.171371e-003,0.000000e+000,0,,0,
1657388526.441,,1.000000e+002,3.500195e+001,4.185838e-002,5.268356e-006,3,9.667523e-001,1.258614e-002,,,,,,,,,,,,,,48,2,4.000000e+000,3.681183e-003,0.000000e+000,0,,0,
1657388763.076,,1.000000e+002,4.000209e+001,2.823581e-002,2.805430e-007,3,9.681352e-001,9.935717e-004,,,,,,,,,,,,,,48,2,4.000000e+000,4.699707e-003,0.000000e+000,0,,0,
1657389133.493,,1.000000e+002,4.500052e+001,1.853838e-002,3.940730e-006,3,9.687204e-001,2.125715e-002,,,,,,,,,,,,,,48,2,4.000000e+000,5.809784e-003,0.000000e+000,0,,0,
1657389488.249,,1.000000e+002,5.000034e+001,1.264542e-002,2.497201e-006,3,9.685725e-001,1.974788e-002,,,,,,,,,,,,,,48,2,4.000000e+000,7.030487e-003,0.000000e+000,0,,0,
1657389812.187,,1.000000e+002,5.499933e+001,9.022549e-003,2.549226e-006,3,9.685279e-001,2.825394e-002,,,,,,,,,,,,,,48,2,4.000000e+000,1.509094e-002,0.000000e+000,0,,0,
1657390173.689,,1.000000e+002,5.999244e+001,6.663322e-003,1.488640e-006,3,9.683268e-001,2.234081e-002,,,,,,,,,,,,,,48,2,4.000000e+000,3.952026e-003,0.000000e+000,0,,0,
1657390535.989,,1.000000e+002,6.499855e+001,5.054642e-003,3.053012e-006,3,9.684447e-001,6.040017e-002,,,,,,,,,,,,,,48,2,4.000000e+000,1.369476e-002,0.000000e+000,0,,0,
1657390915.437,,1.000000e+002,6.999126e+001,3.914508e-003,2.395456e-006,3,9.687060e-001,6.119429e-002,,,,,,,,,,,,,,48,2,4.000000e+000,1.305389e-002,0.000000e+000,0,,0,
1657391306.636,,1.000000e+002,7.499309e+001,3.089430e-003,2.128745e-006,3,9.690528e-001,6.890414e-002,,,,,,,,,,,,,,48,2,4.000000e+000,1.185608e-002,0.000000e+000,0,,0,
1657391739.857,,1.000000e+002,7.999815e+001,2.480563e-003,3.493579e-007,3,9.694784e-001,1.408381e-002,,,,,,,,,,,,,,48,2,4.000000e+000,1.669312e-002,0.000000e+000,0,,0,
1657392157.921,,1.000000e+002,8.499226e+001,2.023191e-003,1.232795e-006,3,9.700780e-001,6.093322e-002,,,,,,,,,,,,,,48,2,4.000000e+000,2.238464e-002,0.000000e+000,0,,0,
1657392583.315,,1.000000e+002,8.998834e+001,1.673538e-003,1.681264e-006,3,9.705514e-001,1.004617e-001,,,,,,,,,,,,,,48,2,4.000000e+000,2.899170e-002,0.000000e+000,0,,0,
1657393030.046,,1.000000e+002,9.498969e+001,1.404579e-003,1.172621e-006,3,9.711440e-001,8.348557e-002,,,,,,,,,,,,,,48,2,4.000000e+000,2.740479e-002,0.000000e+000,0,,0,
1657393478.711,,1.000000e+002,9.998535e+001,1.196164e-003,9.452583e-007,3,9.715089e-001,7.902413e-002,,,,,,,,,,,,,,48,2,4.000000e+000,2.507019e-002,0.000000e+000,0,,0,
1657393991.221,,1.000000e+002,1.099928e+002,9.002993e-004,5.956123e-007,3,9.720021e-001,6.615715e-002,,,,,,,,,,,,,,48,2,4.000000e+000,9.002686e-003,0.000000e+000,0,,0,
