Histogram,PWDR 17_ReMoB2_725psi_98GPa_S_P1_C1_D1w_109.xy,,,,
Instparm: Type,PXC,,,,
Instparm: Bank,1,,,,
Instparm: Lam,0.413263,,,,
Instparm: Polariz.,0.99,,,,
Instparm: Azimuth,0,,,,
Instparm: Zero,-0.000383,,,,
Instparm: U,234.8,,,,
Instparm: V,-21.61,,,,
Instparm: W,7.33,,,,
Instparm: X,0,,,,
Instparm: Y,0,,,,
Instparm: Z,0,,,,
Instparm: SH/L,0,,,,
Samparm: InstrName,,,,,
Samparm: Scale,0.53,,,,
Samparm: Type,Debye-Scherrer,,,,
Samparm: DisplaceX,0,,,,
Samparm: DisplaceY,0,,,,
Samparm: Temperature,300,,,,
Samparm: Pressure,0.1,,,,
Samparm: Time,0,,,,
Samparm: Gonio. radius,200,,,,
Samparm: Omega,0,,,,
Samparm: Chi,0,,,,
Samparm: Phi,0,,,,
Samparm: Azimuth,0,,,,
x,y_obs,weight,y_calc,y_bkg,Q
1.31866,110.811,0.0090244,0,0,0.350009
1.33766,107.687,0.00928615,0,0,0.355051
1.35666,107.829,0.00927396,0,0,0.360093
1.37567,115.248,0.00867696,0,0,0.365136
1.39467,118.18,0.0084617,0,0,0.370178
1.41367,123.405,0.00810338,0,0,0.37522
1.43268,126.09,0.00793085,0,0,0.380263
1.45168,128.142,0.00780381,0,0,0.385305
1.47068,129.465,0.00772411,0,0,0.390347
1.48969,131.469,0.00760638,0,0,0.395389
1.50869,132.365,0.00755485,0,0,0.400432
1.52769,132.935,0.00752248,0,0,0.405474
1.5467,132.9,0.00752447,0,0,0.410516
1.5657,133.817,0.00747289,0,0,0.415558
1.5847,134.327,0.00744449,0,0,0.4206
1.60371,135.246,0.00739392,0,0,0.425642
1.62271,135.336,0.00738902,0,0,0.430685
1.64171,136.28,0.00733782,0,0,0.435727
1.66072,136.786,0.00731069,0,0,0.440769
1.67972,137.796,0.00725708,0,0,0.445811
1.69872,138.287,0.00723131,0,0,0.450853
1.71773,139.098,0.00718918,0,0,0.455895
1.73673,139.838,0.00715113,0,0,0.460937
1.75573,141.126,0.00708588,0,0,0.465979
1.77474,140.806,0.00710196,0,0,0.471021
1.79374,141.554,0.00706443,0,0,0.476063
1.81274,141.446,0.00706984,0,0,0.481105
1.83175,142.302,0.00702732,0,0,0.486147
1.85075,143.771,0.00695551,0,0,0.491189
1.86975,145.487,0.00687349,0,0,0.496231
1.88876,146.561,0.00682309,0,0,0.501273
1.90776,147.557,0.00677705,0,0,0.506315
1.92676,148.115,0.00675153,0,0,0.511357
1.94576,149.108,0.00670654,0,0,0.516399
1.96477,148.63,0.00672812,0,0,0.521441
1.98377,148.452,0.00673619,0,0,0.526483
2.00277,149.398,0.00669355,0,0,0.531525
2.02178,150.039,0.00666493,0,0,0.536567
2.04078,150.624,0.00663904,0,0,0.541609
2.05978,151.416,0.00660434,0,0,0.546651
2.07879,151.98,0.00657983,0,0,0.551692
2.09779,152.172,0.00657153,0,0,0.556734
2.11679,152.46,0.00655909,0,0,0.561776
2.1358,152.824,0.00654346,0,0,0.566818
2.1548,153.694,0.00650642,0,0,0.57186
2.1738,153.886,0.00649831,0,0,0.576901
2.19281,154.477,0.00647345,0,0,0.581943
2.21181,153.951,0.00649557,0,0,0.586985
2.23081,153.835,0.00650049,0,0,0.592026
2.24982,153.94,0.00649606,0,0,0.597068
2.26882,155.167,0.00644468,0,0,0.60211
2.28782,156.659,0.00638329,0,0,0.607151
2.30683,156.983,0.00637011,0,0,0.612193
2.32583,156.477,0.0063907,0,0,0.617235
2.34483,155.617,0.00642604,0,0,0.622276
2.36384,155.715,0.006422,0,0,0.627318
2.38284,156.143,0.00640438,0,0,0.632359
2.40184,157.076,0.00636633,0,0,0.637401
2.42085,157.419,0.00635247,0,0,0.642443
2.43985,157.424,0.00635227,0,0,0.647484
2.45885,157.157,0.00636306,0,0,0.652526
2.47786,157.386,0.0063538,0,0,0.657567
2.49686,157.504,0.00634905,0,0,0.662609
2.51586,157.172,0.00636244,0,0,0.66765
2.53487,157.288,0.00635774,0,0,0.672691
2.55387,156.912,0.00637299,0,0,0.677733
2.57287,158.118,0.00632439,0,0,0.682774
2.59188,159.05,0.00628732,0,0,0.687816
2.61088,159.745,0.00625997,0,0,0.692857
2.62988,159.132,0.0062841,0,0,0.697898
2.64889,158.763,0.00629871,0,0,0.70294
2.66789,158.764,0.00629867,0,0,0.707981
2.68689,158.992,0.00628962,0,0,0.713022
2.7059,158.793,0.00629752,0,0,0.718063
2.7249,158.406,0.00631291,0,0,0.723105
2.7439,158.568,0.00630643,0,0,0.728146
2.76291,158.618,0.00630445,0,0,0.733187
2.78191,158.62,0.00630436,0,0,0.738228
2.80091,158.703,0.00630108,0,0,0.743269
2.81992,158.895,0.00629347,0,0,0.74831
2.83892,159.369,0.00627474,0,0,0.753352
2.85792,159.036,0.00628787,0,0,0.758393
2.87692,158.73,0.0063,0,0,0.763434
2.89593,158.613,0.00630466,0,0,0.768475
2.91493,158.437,0.00631166,0,0,0.773516
2.93393,158.634,0.0063038,0,0,0.778557
2.95294,158.515,0.00630854,0,0,0.783598
2.97194,158.276,0.00631809,0,0,0.788639
2.99094,157.964,0.00633056,0,0,0.79368
3.00995,157.775,0.00633813,157.424,157.06,0.798721
3.02895,157.719,0.00634039,157.317,156.942,0.803762
3.04795,157.619,0.00634441,157.208,156.822,0.808802
3.06696,157.314,0.00635671,157.097,156.698,0.813843
3.08596,157.512,0.00634871,156.985,156.573,0.818884
3.10496,157.399,0.00635328,156.872,156.444,0.823925
3.12397,157.386,0.00635381,156.759,156.314,0.828966
3.14297,156.999,0.00636945,156.645,156.181,0.834007
3.16197,156.846,0.00637568,156.532,156.046,0.839047
3.18098,156.807,0.00637726,156.419,155.91,0.844088
3.19998,156.904,0.00637332,156.307,155.771,0.849129
3.21898,156.637,0.00638419,156.198,155.63,0.854169
3.23799,157.221,0.00636047,156.091,155.488,0.85921
3.25699,157.165,0.00636272,155.988,155.344,0.864251
3.27599,157.758,0.00633881,155.891,155.199,0.869291
3.295,157.175,0.00636234,155.8,155.052,0.874332
3.314,157.103,0.00636526,155.719,154.904,0.879372
3.333,156.241,0.00640037,155.649,154.755,0.884413
3.35201,155.988,0.00641073,155.596,154.604,0.889453
3.37101,155.522,0.00642997,155.565,154.452,0.894494
3.39001,155.706,0.00642237,155.562,154.3,0.899534
3.40902,155.869,0.00641565,155.601,154.146,0.904575
3.42802,155.881,0.00641515,155.701,153.992,0.909615
3.44702,156.234,0.00640066,155.9,153.837,0.914656
3.46603,156.706,0.00638139,156.271,153.682,0.919696
3.48503,156.808,0.00637723,156.945,153.526,0.924736
3.50403,157.26,0.00635891,158.126,153.369,0.929777
3.52304,158.837,0.00629576,160.073,153.212,0.934817
3.54204,161.223,0.0062026,163.01,153.055,0.939857
3.56104,164.559,0.00607685,166.932,152.897,0.944897
3.58005,167.055,0.00598606,171.193,152.739,0.949938
3.59905,168.303,0.00594165,173.959,152.582,0.954978
3.61805,166.615,0.00600187,173.169,152.424,0.960018
3.63706,163.644,0.00611083,169.334,152.266,0.965058
3.65606,160.355,0.00623614,164.735,152.109,0.970098
3.67506,157.677,0.00634209,160.794,151.951,0.975138
3.69407,155.838,0.00641693,157.885,151.794,0.980178
3.71307,155.015,0.00645099,155.906,151.637,0.985218
3.73207,154.116,0.00648864,154.607,151.481,0.990258
3.75108,153.348,0.00652112,153.742,151.325,0.995298
3.77008,153.511,0.00651418,153.131,151.169,1.00034
3.78908,153.839,0.00650028,152.663,151.015,1.00538
3.80808,153.515,0.00651402,152.282,150.86,1.01042
3.82709,152.549,0.00655527,151.955,150.707,1.01546
3.84609,151.682,0.00659273,151.666,150.554,1.0205
3.86509,151.529,0.00659938,151.406,150.402,1.02554
3.8841,151.609,0.00659594,151.167,150.251,1.03058
3.9031,151.68,0.00659281,150.944,150.101,1.03562
3.9221,151.366,0.00660651,150.735,149.952,1.04066
3.94111,151.234,0.00661227,150.537,149.804,1.0457
3.96011,151.325,0.00660831,150.348,149.656,1.05074
3.97911,151.252,0.0066115,150.166,149.51,1.05578
3.99812,150.546,0.00664249,149.991,149.366,1.06082
4.01712,149.779,0.00667652,149.821,149.222,1.06585
4.03612,149.202,0.00670234,149.656,149.08,1.07089
4.05513,149.128,0.00670565,149.495,148.938,1.07593
4.07413,149.402,0.00669336,149.338,148.799,1.08097
4.09313,149.795,0.00667579,149.185,148.66,1.08601
4.11214,150.314,0.00665275,149.035,148.523,1.09105
4.13114,149.968,0.00666807,148.888,148.388,1.09609
4.15014,149.491,0.00668935,148.744,148.254,1.10113
4.16915,149.072,0.00670817,148.603,148.121,1.10617
4.18815,148.741,0.00672308,148.464,147.99,1.11121
4.20715,148.898,0.00671601,148.328,147.86,1.11625
4.22616,149.318,0.00669712,148.194,147.732,1.12129
4.24516,148.994,0.00671167,148.062,147.606,1.12633
4.26416,148.829,0.0067191,147.933,147.481,1.13137
4.28317,148.386,0.00673917,147.806,147.358,1.13641
4.30217,148.713,0.00672437,147.682,147.237,1.14144
4.32117,149.148,0.00670473,147.559,147.118,1.14648
4.34018,148.804,0.00672024,147.439,147,1.15152
4.35918,148.31,0.00674263,147.321,146.884,1.15656
4.37818,147.491,0.00678005,147.205,146.77,1.1616
4.39719,146.697,0.00681676,147.091,146.657,1.16664
4.41619,146.751,0.00681429,146.979,146.547,1.17168
4.43519,146.662,0.00681839,146.87,146.438,1.17672
4.4542,147.233,0.00679196,146.763,146.331,1.18176
4.4732,147.744,0.00676845,146.657,146.226,1.1868
4.4922,147.946,0.00675924,146.554,146.123,1.19183
4.51121,147.659,0.00677235,146.453,146.021,1.19687
4.53021,146.8,0.00681198,146.354,145.922,1.20191
4.54921,146.707,0.0068163,146.257,145.825,1.20695
4.56822,146.517,0.00682516,146.162,145.729,1.21199
4.58722,145.938,0.00685223,146.07,145.635,1.21703
4.60622,146.074,0.00684583,145.979,145.544,1.22207
4.62523,145.916,0.00685326,145.891,145.454,1.2271
4.64423,145.518,0.00687201,145.804,145.366,1.23214
4.66323,144.927,0.00690001,145.72,145.281,1.23718
4.68224,145.364,0.00687929,145.638,145.197,1.24222
4.70124,145.777,0.00685978,145.558,145.115,1.24726
4.72024,146.31,0.00683479,145.479,145.035,1.2523
4.73924,145.986,0.00684998,145.403,144.957,1.25734
4.75825,146.053,0.00684684,145.33,144.881,1.26237
4.77725,145.854,0.00685617,145.258,144.807,1.26741
4.79625,146.631,0.00681985,145.188,144.734,1.27245
4.81526,146.128,0.00684332,145.12,144.664,1.27749
4.83426,145.651,0.00686573,145.054,144.596,1.28253
