"Histogram","PWDR 1_ReMoB2_0bars_0p2GPa_S_P1_C1_D1w_010.fxye Bank 1"
"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam",  0.413263
"Instparm: Polariz.",      0.99
"Instparm: Azimuth",      0.00
"Instparm: Zero", -0.000383
"Instparm: U",    234.80
"Instparm: V",    -21.61
"Instparm: W",      7.33
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Samparm: InstrName",
"Samparm: Scale",      0.04
"Samparm: Type",Debye-Scherrer
"Samparm: DisplaceX",    -43.90
"Samparm: DisplaceY",    -55.13
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
1.31866,106.835,0.00936023,0,0,0.35001
1.33766,104.417,0.00957692,0,0,0.355051
1.35666,108.385,0.00922639,0,0,0.360093
1.37567,119.637,0.00835873,0,0,0.365137
1.39467,125.499,0.00796824,0,0,0.370178
1.41367,129.288,0.00773465,0,0,0.375219
1.43268,131.218,0.00762096,0,0,0.380263
1.45168,132.591,0.00754201,0,0,0.385305
1.47068,135.64,0.0073724,0,0,0.390346
1.48969,137.108,0.00729354,0,0,0.39539
1.50869,138.877,0.00720063,0,0,0.400432
1.52769,139.672,0.00715962,0,0,0.405473
1.5467,139.832,0.00715139,0,0,0.410517
1.5657,140.437,0.00712064,0,0,0.415558
1.5847,140.485,0.00711812,0,0,0.4206
1.60371,141.113,0.00708652,0,0,0.425643
1.62271,141.126,0.00708592,0,0,0.430685
1.64171,142.411,0.00702194,0,0,0.435726
1.66072,142.93,0.00699635,0,0,0.44077
1.67972,143.602,0.0069637,0,0,0.445811
1.69872,143.877,0.00695035,0,0,0.450852
1.71773,145.303,0.00688214,0,0,0.455896
1.73673,146.353,0.00683273,0,0,0.460938
1.75573,147.496,0.00677984,0,0,0.465979
1.77474,148.089,0.00675268,0,0,0.471023
1.79374,148.713,0.00672436,0,0,0.476064
1.81274,148.763,0.00672215,0,0,0.481105
1.83175,149.651,0.00668221,0,0,0.486149
1.85075,151.231,0.0066124,0,0,0.49119
1.86975,151.923,0.00658229,0,0,0.496231
1.88876,151.967,0.00658036,0,0,0.501275
1.90776,152.682,0.00654962,0,0,0.506316
1.92676,153.782,0.0065027,0,0,0.511357
1.94576,154.731,0.00646282,0,0,0.516398
1.96477,155.25,0.00644126,0,0,0.521442
1.98377,155.52,0.00643001,0,0,0.526483
2.00277,156.661,0.00638324,0,0,0.531524
2.02178,156.84,0.0063759,0,0,0.536567
2.04078,157.647,0.00634334,0,0,0.541608
2.05978,157.779,0.00633799,0,0,0.546649
2.07879,158.412,0.00631264,0,0,0.551693
2.09779,158.928,0.00629212,0,0,0.556734
2.11679,159.113,0.00628484,0,0,0.561775
2.1358,159.137,0.00628395,0,0,0.566818
2.1548,159.791,0.00625822,0,0,0.571859
2.1738,160.558,0.00622823,0,0,0.5769
2.19281,161.13,0.00620617,0,0,0.581944
2.21181,161.112,0.00620685,0,0,0.586985
2.23081,161.212,0.00620304,0,0,0.592025
2.24982,161.475,0.00619289,0,0,0.597069
2.26882,161.589,0.00618851,0,0,0.60211
2.28782,161.982,0.00617354,0,0,0.60715
2.30683,162.031,0.0061717,0,0,0.612194
2.32583,162.407,0.00615737,0,0,0.617235
2.34483,162.439,0.00615611,0,0,0.622275
2.36384,162.513,0.00615341,0,0,0.627319
2.38284,162.604,0.00614994,0,0,0.632359
2.40184,163.213,0.00612695,0,0,0.6374
2.42085,163.784,0.00610561,0,0,0.642443
2.43985,164.063,0.00609523,0,0,0.647484
2.45885,164.574,0.00607633,0,0,0.652525
2.47786,163.997,0.0060977,0,0,0.657568
2.49686,164.32,0.00608572,0,0,0.662609
2.51586,164.013,0.00609704,0,0,0.667649
2.53487,164.411,0.0060823,0,0,0.672692
2.55387,164.37,0.00608382,0,0,0.677733
2.57287,164.958,0.00606215,0,0,0.682773
2.59188,164.962,0.00606196,0,0,0.687817
2.61088,164.324,0.00608553,0,0,0.692857
2.62988,163.97,0.00609865,0,0,0.697898
2.64889,164.159,0.00609161,0,0,0.702941
2.66789,164.443,0.00608117,0,0,0.707981
2.68689,164.551,0.00607718,0,0,0.713022
2.7059,164.448,0.00608098,0,0,0.718065
2.7249,164.236,0.00608886,0,0,0.723105
2.7439,164.456,0.0060806,0,0,0.728145
2.76291,165.181,0.00605394,0,0,0.733188
2.78191,165.611,0.00603824,0,0,0.738229
2.80091,165.809,0.00603102,0,0,0.743269
2.81992,165.736,0.00603364,0,0,0.748312
2.83892,165.118,0.0060563,0,0,0.753352
2.85792,164.535,0.00607775,0,0,0.758392
2.87692,164.132,0.00609266,0,0,0.763432
2.89593,164.318,0.00608572,0,0,0.768475
2.91493,164.32,0.00608572,0,0,0.773515
2.93393,163.86,0.00610275,0,0,0.778556
2.95294,163.581,0.00611316,0,0,0.783598
2.97194,163.282,0.00612436,0,0,0.788638
2.99094,163.014,0.00613444,0,0,0.793679
3.00995,163.174,0.00612848,162.417,162.331,0.798721
3.02895,163.591,0.00611278,162.561,162.47,0.803761
3.04795,163.803,0.00610485,162.683,162.585,0.808801
3.06696,163.274,0.00612465,162.784,162.679,0.813844
3.08596,163.278,0.00612455,162.865,162.752,0.818884
3.10496,163.285,0.00612426,162.927,162.805,0.823924
3.12397,163.534,0.00611498,162.973,162.839,0.828966
