#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.777683	27.427089	291.991042	4.862262E-6	40.999879	59.000000	703.221355	NA	NA
0.787383	27.425968	291.991042	4.940815E-6	40.999879	59.000000	703.220991	NA	NA
0.795567	27.428980	291.991042	4.958715E-6	40.999918	59.000000	703.221968	NA	NA
0.804067	27.428386	291.991042	5.057827E-6	40.999848	59.000000	703.221775	NA	NA
0.812367	27.421334	291.991042	4.924957E-6	40.999797	59.000000	703.219489	NA	NA
0.820783	27.424875	291.991042	4.874071E-6	40.999856	59.000000	703.220637	NA	NA
0.829100	27.423140	291.991042	4.848598E-6	40.999863	59.000000	703.220075	NA	NA
0.837700	27.421781	291.991042	4.920257E-6	40.999816	59.000000	703.219634	NA	NA
0.845783	27.425122	291.991042	4.865292E-6	40.999801	59.000000	703.220717	NA	NA
0.854117	27.427839	291.991042	4.851998E-6	40.999777	59.000000	703.221598	NA	NA
0.862450	27.430253	291.991042	4.850824E-6	40.999734	59.000000	703.222380	NA	NA
0.870600	27.429873	291.991042	4.953120E-6	40.999695	59.000000	703.222257	NA	NA
0.879183	27.427761	291.991042	5.010775E-6	40.999613	59.000000	703.221572	NA	NA
0.887383	27.428966	291.991042	4.937075E-6	40.999680	59.000000	703.221963	NA	NA
0.896517	27.425729	291.991042	4.933705E-6	40.999680	59.000000	703.220914	NA	NA
0.904383	27.428227	291.991042	4.850700E-6	40.999707	59.000000	703.221723	NA	NA
0.912417	27.427372	291.991042	4.823835E-6	40.999762	59.000000	703.221446	NA	NA
0.921017	27.429499	291.991042	4.857192E-6	40.999781	59.000000	703.222136	NA	NA
0.929167	27.434238	291.991042	4.945576E-6	40.999773	59.000000	703.223672	NA	NA
0.937450	27.439631	291.991042	4.984003E-6	40.999781	59.000000	703.225419	NA	NA
0.945700	27.420911	291.991042	4.964434E-6	40.999840	59.000000	703.219352	NA	NA
0.954067	27.433469	291.991042	4.939146E-6	40.999812	59.000000	703.223422	NA	NA
