#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.501717	6.271895	291.354503	4.592873E-6	64.999840	59.100000	696.012648	NA	NA
0.537167	84.445440	291.354503	4.680268E-6	64.999848	59.100000	719.689879	NA	NA
0.554083	85.073646	291.354503	4.694860E-6	64.999883	59.100000	719.852308	NA	NA
0.570650	86.225040	291.354503	4.642429E-6	64.999828	59.100000	720.149091	NA	NA
0.587233	85.887121	291.354503	4.564864E-6	64.999805	59.100000	720.062112	NA	NA
0.603833	86.002132	291.354503	4.562670E-6	64.999816	59.100000	720.091727	NA	NA
0.620367	86.363815	291.354503	4.642058E-6	64.999781	59.100000	720.184781	NA	NA
0.637250	85.499910	291.354503	4.701259E-6	64.999820	59.100000	719.962320	NA	NA
0.654350	85.709839	291.354503	4.695015E-6	64.999801	59.100000	720.016440	NA	NA
0.670450	85.696238	291.354503	4.600849E-6	64.999875	59.100000	720.012934	NA	NA
0.687033	85.671271	291.354503	4.580353E-6	64.999887	59.100000	720.006500	NA	NA
0.703750	87.078467	291.354503	4.665151E-6	64.999824	59.100000	720.368306	NA	NA
0.720433	86.593186	291.354503	4.699250E-6	64.999855	59.100000	720.243734	NA	NA
0.737617	87.296777	291.354503	4.628085E-6	64.999867	59.100000	720.424279	NA	NA
0.753583	86.149102	291.354503	4.605888E-6	64.999906	59.100000	720.129554	NA	NA
0.770950	85.496359	291.354503	4.592904E-6	64.999961	59.100000	719.961404	NA	NA
0.787183	86.398855	291.354503	4.660823E-6	64.999875	59.100000	720.193790	NA	NA
0.803833	85.119097	291.354503	4.684226E-6	64.999887	59.100000	719.864046	NA	NA
0.820417	85.618334	291.354503	4.626137E-6	64.999926	59.100000	719.992854	NA	NA
0.837167	86.023922	291.354503	4.612844E-6	64.999875	59.100000	720.097336	NA	NA
0.853817	86.911735	291.354503	4.668830E-6	64.999852	59.100000	720.325529	NA	NA
0.870500	86.857337	291.354503	4.638225E-6	64.999840	59.100000	720.311568	NA	NA
0.887167	87.206861	291.354503	4.616739E-6	64.999852	59.100000	720.401230	NA	NA
0.903833	88.859447	291.354503	4.633989E-6	64.999660	59.100000	720.823702	NA	NA
0.920483	85.501974	291.354503	4.655877E-6	64.999742	59.100000	719.962852	NA	NA
0.937683	86.099668	291.354503	4.638039E-6	64.999680	59.100000	720.116833	NA	NA
0.953817	85.993561	291.354503	4.611669E-6	64.999648	59.100000	720.089520	NA	NA
0.970500	86.001307	291.354503	4.611267E-6	64.999609	59.100000	720.091514	NA	NA
0.987133	87.227604	291.354503	4.724940E-6	64.999617	59.100000	720.406548	NA	NA
1.003733	87.010146	291.354503	4.681659E-6	64.999691	59.100000	720.350781	NA	NA
1.020483	86.945444	291.354503	4.589194E-6	64.999617	59.100000	720.334180	NA	NA
1.037150	87.591004	291.354503	4.563473E-6	64.999687	59.100000	720.499648	NA	NA
1.053733	87.246771	291.354503	4.608979E-6	64.999664	59.100000	720.411461	NA	NA
1.070517	84.933974	291.354503	4.691336E-6	64.999914	59.100000	719.816225	NA	NA
1.087683	84.958631	291.354503	4.684998E-6	64.999844	59.100000	719.822596	NA	NA
1.103800	86.548289	291.354503	4.584804E-6	64.999887	59.100000	720.232198	NA	NA
1.120483	87.768617	291.354503	4.568914E-6	65.000047	59.100000	720.545109	NA	NA
1.137133	85.556166	291.354503	4.662183E-6	65.000086	59.100000	719.976827	NA	NA
1.154333	86.036782	291.354503	4.682370E-6	65.000066	59.100000	720.100647	NA	NA
1.170467	86.502630	291.354503	4.649787E-6	65.000086	59.100000	720.220465	NA	NA
1.187133	87.308200	291.354503	4.582084E-6	65.000008	59.100000	720.427206	NA	NA
1.203733	85.343243	291.354503	4.630774E-6	65.000000	59.100000	719.921906	NA	NA
1.221017	86.980188	291.354503	4.648519E-6	65.000070	59.100000	720.343095	NA	NA
1.237100	86.024504	291.354503	4.687874E-6	65.000117	59.100000	720.097486	NA	NA
1.253783	86.729811	291.354503	4.643016E-6	65.000070	59.100000	720.278827	NA	NA
1.270433	87.389913	291.354503	4.603106E-6	65.000117	59.100000	720.448145	NA	NA
1.287117	86.983511	291.354503	4.612689E-6	65.000133	59.100000	720.343948	NA	NA
1.303783	87.948059	291.354503	4.623850E-6	65.000141	59.100000	720.591010	NA	NA
1.320433	87.132136	291.354503	4.660235E-6	65.000051	59.100000	720.382070	NA	NA
1.337117	87.313641	291.354503	4.619768E-6	64.999938	59.100000	720.428601	NA	NA
1.353783	88.535972	291.354503	4.610525E-6	65.000125	59.100000	720.741197	NA	NA
1.370450	88.377754	291.354503	4.652909E-6	65.000098	59.100000	720.700809	NA	NA
1.387100	88.482179	291.354503	4.677672E-6	65.000055	59.100000	720.727468	NA	NA
1.403767	88.660145	291.354503	4.641254E-6	65.000148	59.100000	720.772879	NA	NA
1.420417	89.111171	290.724133	4.607001E-6	65.000129	59.200000	720.883380	NA	NA
1.437100	89.010388	291.354503	4.592688E-6	65.000262	59.100000	720.862169	NA	NA
1.453767	88.096481	291.354503	4.644809E-6	65.000297	59.100000	720.628954	NA	NA
1.470433	88.380537	291.354503	4.652693E-6	65.000309	59.100000	720.701519	NA	NA
1.487083	88.737635	291.354503	4.566503E-6	65.000141	59.100000	720.792643	NA	NA
1.503733	88.621244	291.354503	4.611700E-6	65.000313	59.100000	720.762955	NA	NA
1.520450	89.914907	291.354503	4.684751E-6	65.000438	59.100000	721.092270	NA	NA
1.537083	90.604485	291.354503	4.698044E-6	65.000344	59.100000	721.267214	NA	NA
1.553750	90.366399	291.354503	4.564092E-6	65.000555	59.100000	721.206858	NA	NA
1.570450	91.400952	291.354503	4.576395E-6	65.000461	59.100000	721.468764	NA	NA
1.587133	91.657720	291.354503	4.680299E-6	65.000426	59.100000	721.533624	NA	NA
1.603750	91.120086	291.354503	4.672045E-6	65.000387	59.100000	721.397752	NA	NA
1.620417	92.015168	291.354503	4.585639E-6	65.000449	59.100000	721.623822	NA	NA
1.637167	92.324628	291.354503	4.555652E-6	65.000477	59.100000	721.701822	NA	NA
1.653700	85.808475	291.354503	4.644036E-6	65.000422	59.100000	720.041854	NA	NA
1.670983	87.235370	291.354503	4.701537E-6	65.000527	59.100000	720.408539	NA	NA
1.687067	87.616993	291.354503	4.677826E-6	65.000348	59.100000	720.506302	NA	NA
1.703750	86.832990	291.354503	4.617048E-6	65.000426	59.100000	720.305318	NA	NA
1.720417	85.671694	291.354503	4.578931E-6	65.000340	59.100000	720.006609	NA	NA
1.737067	85.883384	291.354503	4.575993E-6	65.000367	59.100000	720.061150	NA	NA
1.753683	85.772238	291.354503	4.664935E-6	65.000270	59.100000	720.032518	NA	NA
1.770400	87.040237	291.354503	4.697858E-6	65.000227	59.100000	720.358500	NA	NA
1.787050	87.514493	291.354503	4.619892E-6	65.000074	59.100000	720.480057	NA	NA
1.803733	87.197945	291.354503	4.569440E-6	64.999977	59.100000	720.398944	NA	NA
1.820317	87.274352	291.354503	4.615441E-6	64.999879	59.100000	720.418531	NA	NA
1.837067	87.464917	291.354503	4.662090E-6	64.999762	59.100000	720.467359	NA	NA
1.853717	86.460809	291.354503	4.688986E-6	64.999789	59.100000	720.209717	NA	NA
1.870950	86.681228	291.354503	4.682556E-6	64.999852	59.100000	720.266350	NA	NA
1.887100	86.672209	291.354503	4.608670E-6	64.999828	59.100000	720.264034	NA	NA
1.903633	87.516828	291.354503	4.646077E-6	64.999809	59.100000	720.480654	NA	NA
1.920400	88.254693	291.354503	4.642089E-6	64.999801	59.100000	720.669380	NA	NA
1.937033	88.099602	291.354503	4.598531E-6	64.999820	59.100000	720.629752	NA	NA
