#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.320300	5.812424	290.099672	4.065007E-6	95.999773	59.300000	695.839312	NA	NA
0.322483	5.111808	290.099672	4.049055E-6	95.999828	59.300000	695.587346	NA	NA
0.324450	5.168676	290.099672	4.070819E-6	95.999859	59.300000	695.607831	NA	NA
0.327250	5.569052	290.099672	4.068933E-6	95.999867	59.300000	695.751887	NA	NA
0.329250	5.648134	290.099672	4.069830E-6	95.999906	59.300000	695.780307	NA	NA
0.331500	5.850454	290.099672	4.076692E-6	95.999930	59.300000	695.852964	NA	NA
0.333633	-4.033114	290.099672	4.080341E-6	95.999969	59.300000	692.214421	NA	NA
0.337050	-3.906601	290.099672	4.076012E-6	95.999922	59.300000	692.262186	NA	NA
0.338933	-3.857859	290.099672	4.077713E-6	95.999891	59.300000	692.280581	NA	NA
0.340233	-3.646622	290.099672	4.063090E-6	95.999891	59.300000	692.360242	NA	NA
0.342050	-4.011346	290.099672	4.055578E-6	95.999859	59.300000	692.222642	NA	NA
0.343633	-3.521205	290.099672	4.056753E-6	95.999859	59.300000	692.407497	NA	NA
0.345500	-3.914789	290.099672	4.053692E-6	95.999859	59.300000	692.259096	NA	NA
0.347067	-3.705013	290.099672	4.059380E-6	95.999867	59.300000	692.338231	NA	NA
0.349217	-3.473521	290.099672	4.069057E-6	95.999859	59.300000	692.425455	NA	NA
0.350917	-3.646099	290.099672	4.063801E-6	95.999859	59.300000	692.360440	NA	NA
0.352283	72.380793	290.099672	4.058638E-6	95.999859	59.300000	716.490404	NA	NA
0.354650	72.764069	290.099672	4.068902E-6	95.999859	59.300000	716.593912	NA	NA
0.357367	72.443249	290.099672	4.083772E-6	95.999805	59.300000	716.507281	NA	NA
0.359550	72.776948	290.099672	4.076012E-6	95.999820	59.300000	716.597388	NA	NA
0.361250	72.804299	290.099672	4.065440E-6	95.999805	59.300000	716.604769	NA	NA
0.362533	72.557433	290.099672	4.058917E-6	95.999836	59.300000	716.538126	NA	NA
0.363783	72.639862	290.099672	4.063152E-6	95.999875	59.300000	716.560385	NA	NA
0.365300	72.612333	290.099672	4.067264E-6	95.999906	59.300000	716.552952	NA	NA
0.367250	32.716946	290.099672	4.069181E-6	95.999930	59.300000	704.902759	NA	NA
0.369100	32.745514	290.099672	4.078424E-6	95.999914	59.300000	704.911803	NA	NA
0.370250	32.560439	290.099672	4.075209E-6	95.999898	59.300000	704.853190	NA	NA
0.372600	32.272341	290.099672	4.075549E-6	95.999898	59.300000	704.761855	NA	NA
0.373900	32.240779	290.099672	4.069582E-6	95.999922	59.300000	704.751842	NA	NA
0.375367	32.226151	290.099672	4.056598E-6	95.999914	59.300000	704.747201	NA	NA
0.377100	32.503428	290.099672	4.056104E-6	95.999891	59.300000	704.835125	NA	NA
0.379267	32.688410	290.099672	4.066151E-6	95.999898	59.300000	704.893723	NA	NA
0.380550	33.069744	290.099672	4.076322E-6	95.999898	59.300000	705.014372	NA	NA
0.381917	33.115909	290.099672	4.071777E-6	95.999922	59.300000	705.028965	NA	NA
0.383583	32.930744	290.099672	4.052115E-6	95.999922	59.300000	704.970418	NA	NA
0.385717	32.861223	290.099672	4.058453E-6	95.999945	59.300000	704.948424	NA	NA
0.387167	33.185859	290.099672	4.071004E-6	95.999969	59.300000	705.051070	NA	NA
0.388617	56.500158	290.099672	4.071375E-6	95.999984	59.300000	712.068489	NA	NA
0.390817	56.252233	290.099672	4.057835E-6	96.000016	59.300000	711.997301	NA	NA
0.392117	56.716244	290.099672	4.062688E-6	96.000016	59.300000	712.130479	NA	NA
0.394000	56.617368	290.099672	4.069088E-6	96.000039	59.300000	712.102120	NA	NA
0.395783	56.283773	290.099672	4.069181E-6	96.000047	59.300000	712.006361	NA	NA
0.397150	56.356966	290.099672	4.067913E-6	96.000039	59.300000	712.027382	NA	NA
0.398550	56.279816	290.099672	4.065564E-6	96.000055	59.300000	712.005225	NA	NA
0.400350	56.434056	290.099672	4.071468E-6	96.000062	59.300000	712.049516	NA	NA
0.402083	56.305539	290.099672	4.070355E-6	96.000070	59.300000	712.012613	NA	NA
0.403917	56.768104	290.099672	4.063832E-6	96.000086	59.300000	712.145348	NA	NA
0.405333	56.797123	290.099672	4.072179E-6	96.000094	59.300000	712.153667	NA	NA
0.407050	56.771502	290.099672	4.063492E-6	96.000078	59.300000	712.146322	NA	NA
0.408800	57.286173	290.099672	4.056444E-6	96.000062	59.300000	712.293726	NA	NA
0.410417	57.711021	290.099672	4.066985E-6	96.000031	59.300000	712.415181	NA	NA
0.414383	57.600621	290.099672	4.067140E-6	95.999961	59.300000	712.383639	NA	NA
0.415633	57.676895	290.099672	4.073137E-6	95.999961	59.300000	712.405432	NA	NA
0.416917	57.871989	290.099672	4.070881E-6	95.999992	59.300000	712.461145	NA	NA
0.419100	58.248822	290.099672	4.068407E-6	96.000039	59.300000	712.568638	NA	NA
0.420600	57.924746	290.099672	4.064574E-6	96.000039	59.300000	712.476204	NA	NA
0.422017	57.833538	290.099672	4.061699E-6	96.000047	59.300000	712.450168	NA	NA
0.423667	51.750083	290.099672	4.064079E-6	96.000023	59.300000	710.692402	NA	NA
0.425783	51.787282	290.099672	4.061761E-6	96.000016	59.300000	710.703280	NA	NA
0.427067	51.875168	290.099672	4.066058E-6	95.999992	59.300000	710.728972	NA	NA
0.429017	52.054252	290.099672	4.072272E-6	96.000000	59.300000	710.781298	NA	NA
0.430683	51.827448	290.099672	4.065223E-6	96.000016	59.300000	710.715023	NA	NA
0.432100	51.435252	290.099672	4.063400E-6	96.000008	59.300000	710.600276	NA	NA
0.433617	51.118434	290.099672	4.060370E-6	96.000016	59.300000	710.507451	NA	NA
0.435283	50.737079	290.099672	4.059999E-6	96.000047	59.300000	710.395561	NA	NA
0.437300	7.766267	290.099672	4.068129E-6	96.000039	59.300000	696.537339	NA	NA
0.439150	79.042615	290.099672	4.071283E-6	96.000094	59.300000	718.269177	NA	NA
0.440883	78.819781	290.099672	4.068995E-6	96.000109	59.300000	718.210365	NA	NA
0.442433	79.072667	290.099672	4.068284E-6	96.000117	59.300000	718.277105	NA	NA
0.444167	79.196794	290.099672	4.065811E-6	96.000094	59.300000	718.309842	NA	NA
0.445500	78.819514	290.099672	4.064698E-6	96.000062	59.300000	718.210294	NA	NA
0.447100	79.495453	290.099672	4.070664E-6	96.000023	59.300000	718.388549	NA	NA
0.448667	68.732624	290.099672	4.072921E-6	95.999984	59.300000	715.497832	NA	NA
0.450750	68.516426	290.099672	4.076816E-6	95.999945	59.300000	715.438588	NA	NA
0.452050	68.651806	290.099672	4.065532E-6	95.999953	59.300000	715.475691	NA	NA
0.454167	68.166760	290.099672	4.065532E-6	95.999969	59.300000	715.342671	NA	NA
0.455483	68.418474	290.099672	4.064822E-6	95.999938	59.300000	715.411732	NA	NA
0.457050	67.978331	290.099672	4.071004E-6	95.999961	59.300000	715.290930	NA	NA
0.458883	67.494994	290.099672	4.077342E-6	95.999969	59.300000	715.158045	NA	NA
0.460433	67.656058	290.099672	4.077001E-6	95.999969	59.300000	715.202354	NA	NA
0.462283	67.548756	290.099672	4.067356E-6	95.999992	59.300000	715.172838	NA	NA
0.463617	67.844420	290.099672	4.069922E-6	95.999953	59.300000	715.254138	NA	NA
0.465667	67.440784	290.099672	4.053198E-6	95.999938	59.300000	715.143126	NA	NA
0.467117	67.844388	290.099672	4.067047E-6	95.999969	59.300000	715.254129	NA	NA
0.468733	67.790714	290.099672	4.073632E-6	95.999938	59.300000	715.239377	NA	NA
0.470550	85.397556	290.099672	4.074343E-6	95.999930	59.300000	719.927050	NA	NA
0.472417	85.384549	290.099672	4.073632E-6	95.999898	59.300000	719.923695	NA	NA
0.473683	85.183127	290.099672	4.064265E-6	95.999867	59.300000	719.871711	NA	NA
0.475383	84.899336	290.099672	4.062874E-6	95.999883	59.300000	719.798407	NA	NA
0.477400	85.161112	290.099672	4.071839E-6	95.999891	59.300000	719.866027	NA	NA
0.478867	85.103689	290.099672	4.068408E-6	95.999898	59.300000	719.851199	NA	NA
0.480400	84.988808	290.099672	4.065378E-6	95.999898	59.300000	719.821526	NA	NA
0.482017	85.477775	290.099672	4.063925E-6	95.999898	59.300000	719.947742	NA	NA
0.483750	65.314778	290.099672	4.060865E-6	95.999930	59.300000	714.555636	NA	NA
0.485833	64.797149	290.099672	4.055609E-6	95.999938	59.300000	714.411884	NA	NA
0.486950	62.873539	290.099672	4.067387E-6	95.999922	59.300000	713.875198	NA	NA
0.489717	62.782152	290.099672	4.060679E-6	95.999914	59.300000	713.849604	NA	NA
0.490800	62.755660	290.099672	4.064605E-6	95.999914	59.300000	713.842182	NA	NA
0.491900	63.203942	290.099672	4.074652E-6	95.999922	59.300000	713.967660	NA	NA
0.493933	63.442831	290.099672	4.069180E-6	95.999906	59.300000	714.034438	NA	NA
0.495450	63.099835	290.099672	4.064265E-6	95.999945	59.300000	713.938538	NA	NA
0.497067	62.835271	290.099672	4.061606E-6	95.999961	59.300000	713.864482	NA	NA
0.498783	62.940324	290.099672	4.069118E-6	95.999984	59.300000	713.893897	NA	NA
0.500383	-8.404007	290.099672	4.073911E-6	95.999992	59.300000	690.544192	NA	NA
0.502700	-7.771368	290.099672	4.062070E-6	96.000008	59.300000	690.788378	NA	NA
0.504167	-7.250650	290.099672	4.064883E-6	96.000023	59.300000	690.988738	NA	NA
0.505517	37.929784	290.099672	4.076538E-6	96.000031	59.300000	706.534734	NA	NA
0.507217	37.941112	290.099672	4.073416E-6	96.000070	59.300000	706.538241	NA	NA
0.508417	79.828665	290.099672	4.056196E-6	96.000070	59.300000	718.476264	NA	NA
0.510583	79.686722	290.099672	4.064543E-6	96.000094	59.300000	718.438912	NA	NA
0.512450	79.827623	290.099672	4.060617E-6	96.000086	59.300000	718.475990	NA	NA
0.513783	79.658457	290.099672	4.060339E-6	96.000102	59.300000	718.431472	NA	NA
0.515267	79.686850	290.099672	4.063678E-6	96.000102	59.300000	718.438945	NA	NA
0.517083	80.221996	290.099672	4.064234E-6	96.000117	59.300000	718.579672	NA	NA
0.518767	80.302445	290.099672	4.067944E-6	96.000125	59.300000	718.600804	NA	NA
0.520767	80.443476	290.099672	4.068284E-6	96.000094	59.300000	718.637836	NA	NA
0.522050	80.386949	290.099672	4.068469E-6	96.000102	59.300000	718.622995	NA	NA
0.523667	61.293738	290.099672	4.068778E-6	96.000133	59.300000	713.431486	NA	NA
0.525967	61.293781	290.099672	4.066491E-6	96.000156	59.300000	713.431499	NA	NA
0.527267	61.293683	290.099672	4.076322E-6	96.000180	59.300000	713.431471	NA	NA
0.528900	61.293745	290.099672	4.078579E-6	96.000180	59.300000	713.431488	NA	NA
