#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.456333	36.039787	2.371398	3.094699E-6	64.999992	3145.400000	705.025287	NA	NA
0.458767	36.004616	2.371567	3.084559E-6	65.000012	3145.100000	705.014324	NA	NA
0.460350	35.465129	2.371679	3.104499E-6	65.000019	3144.900000	704.845954	NA	NA
0.462300	35.336610	2.371511	3.147965E-6	65.000039	3145.200000	704.805786	NA	NA
0.464017	35.149368	2.371454	3.172202E-6	65.000055	3145.300000	704.747225	NA	NA
0.465583	35.594399	2.371791	3.160887E-6	65.000055	3144.700000	704.886334	NA	NA
0.467100	35.647269	2.371960	3.134084E-6	65.000031	3144.400000	704.902842	NA	NA
0.469100	66.578885	2.371735	3.100109E-6	65.000031	3144.800000	713.971845	NA	NA
0.471133	66.725791	2.371567	3.093061E-6	65.000027	3145.100000	714.012345	NA	NA
0.472867	66.861755	2.371679	3.150624E-6	65.000008	3144.900000	714.049809	NA	NA
0.474183	66.752678	2.371904	3.174922E-6	65.000012	3144.500000	714.019755	NA	NA
0.475567	66.779310	2.371904	3.166050E-6	65.000004	3144.500000	714.027094	NA	NA
0.477350	67.154068	2.371679	3.134888E-6	64.999988	3144.900000	714.130289	NA	NA
0.479017	66.941764	2.371679	3.101933E-6	64.999988	3144.900000	714.071846	NA	NA
0.480733	66.831531	2.371904	3.108487E-6	64.999981	3144.500000	714.041483	NA	NA
0.482700	66.913176	2.371960	3.153375E-6	64.999953	3144.400000	714.063973	NA	NA
0.484200	66.779272	2.371735	3.175479E-6	64.999977	3144.800000	714.027084	NA	NA
0.485633	63.218707	2.371735	3.183053E-6	64.999941	3144.800000	713.039335	NA	NA
0.487550	63.098423	2.372016	3.158136E-6	64.999992	3144.300000	713.005733	NA	NA
0.488833	63.045654	2.372128	3.130900E-6	64.999965	3144.100000	712.990988	NA	NA
0.490550	63.072001	2.371960	3.115814E-6	64.999969	3144.400000	712.998350	NA	NA
0.492183	63.309618	2.371848	3.112691E-6	64.999965	3144.600000	713.064721	NA	NA
0.493667	63.256737	2.372072	3.125676E-6	64.999965	3144.200000	713.049955	NA	NA
0.495533	63.336041	2.372241	3.152169E-6	64.999957	3143.900000	713.072098	NA	NA
0.497317	63.318413	2.372185	3.132446E-6	64.999957	3144.000000	713.067176	NA	NA
0.498967	62.992822	2.371960	3.129509E-6	64.999961	3144.400000	712.976221	NA	NA
0.500417	63.415860	2.372072	3.101810E-6	64.999984	3144.200000	713.094377	NA	NA
0.502250	63.310767	2.372297	3.084157E-6	64.999996	3143.800000	713.065042	NA	NA
0.503683	63.707032	2.372353	3.125397E-6	64.999984	3143.700000	713.175591	NA	NA
0.505433	63.311476	2.372185	3.185773E-6	64.999981	3144.000000	713.065240	NA	NA
0.507583	63.230639	2.372241	3.156343E-6	64.999996	3143.900000	713.042667	NA	NA
0.509367	14.598990	2.372522	3.130900E-6	65.000008	3143.400000	698.013562	NA	NA
0.511467	14.183552	2.372578	3.113928E-6	65.000031	3143.300000	697.870738	NA	NA
0.513133	14.123559	2.372409	3.114206E-6	65.000023	3143.600000	697.850089	NA	NA
0.514800	14.186917	2.372353	3.167534E-6	65.000023	3143.700000	697.871896	NA	NA
0.517200	14.292647	2.372690	3.185495E-6	65.000051	3143.100000	697.908271	NA	NA
0.518700	14.525367	2.372522	3.146234E-6	65.000035	3143.400000	697.988272	NA	NA
0.520917	14.851768	2.372466	3.093401E-6	65.000027	3143.500000	698.100326	NA	NA
0.522250	14.479482	2.372634	3.083601E-6	65.000043	3143.200000	697.972505	NA	NA
0.524067	14.333314	2.372747	3.112135E-6	65.000047	3143.000000	697.922258	NA	NA
0.525500	13.912420	2.372690	3.134857E-6	65.000047	3143.100000	697.777372	NA	NA
0.527117	13.873747	2.372578	3.152262E-6	64.999996	3143.300000	697.764044	NA	NA
0.528800	13.810590	2.372690	3.151675E-6	65.000000	3143.100000	697.742274	NA	NA
0.530583	13.684038	2.372915	3.126108E-6	64.999965	3142.700000	697.698632	NA	NA
0.532367	13.705125	2.372859	3.092319E-6	64.999992	3142.800000	697.705906	NA	NA
0.533817	13.705023	2.372690	3.074419E-6	64.999981	3143.100000	697.705871	NA	NA
0.535417	13.789428	2.372803	3.104963E-6	64.999969	3142.900000	697.734978	NA	NA
0.537033	13.810456	2.373028	3.162217E-6	64.999969	3142.500000	697.742228	NA	NA
0.538767	13.662855	2.373140	3.187041E-6	64.999957	3142.300000	697.691325	NA	NA
0.540750	13.810563	2.373028	3.173068E-6	64.999949	3142.500000	697.742265	NA	NA
0.542117	13.557337	2.373028	3.149851E-6	64.999914	3142.500000	697.654913	NA	NA
0.543683	13.662916	2.373028	3.107003E-6	64.999930	3142.500000	697.691346	NA	NA
0.545750	13.472898	2.373197	3.125830E-6	64.999941	3142.200000	697.625761	NA	NA
