#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.123850	49.480341	1.854289	-1.007825E-8	96.000008	4425.600000	709.098097	NA	NA
0.142683	49.297596	1.854350	-3.369750E-9	96.000109	4425.400000	709.044217	NA	NA
0.159283	49.447368	1.854229	1.069625E-8	96.000094	4425.800000	709.088378	NA	NA
0.176467	49.333231	1.854107	-1.629175E-8	96.000086	4426.200000	709.054727	NA	NA
0.192767	49.377201	1.853683	4.358750E-9	96.000094	4427.600000	709.067692	NA	NA
0.209433	49.215287	1.853320	7.790500E-9	96.000062	4428.800000	709.019936	NA	NA
0.226467	49.511205	1.854017	4.081000E-9	95.999984	4426.500000	709.107193	NA	NA
0.243033	49.132037	1.853532	9.275000E-11	95.999984	4428.100000	708.995369	NA	NA
0.259450	49.224751	1.853169	-1.174750E-8	95.999969	4429.300000	709.022728	NA	NA
0.276067	49.248559	1.853290	7.728500E-9	95.999945	4428.900000	709.029752	NA	NA
0.292633	49.398006	1.853229	-9.367250E-9	95.999906	4429.100000	709.073826	NA	NA
0.309467	49.381807	1.852957	-1.017100E-8	95.999961	4430.000000	709.069050	NA	NA
0.326300	49.261690	1.853169	-1.205500E-9	96.000008	4429.300000	709.033626	NA	NA
0.343133	49.389234	1.854198	4.884250E-9	96.000023	4425.900000	709.071240	NA	NA
0.359667	49.287810	1.859119	-1.669400E-8	96.000227	4409.700000	709.041333	NA	NA
0.376133	49.393869	1.877830	-2.751250E-9	96.000836	4348.600000	709.072617	NA	NA
0.392683	49.307425	1.896087	7.605000E-9	96.009336	4289.400000	709.047133	NA	NA
0.409767	49.283581	1.913564	6.121000E-9	96.055016	4233.000000	709.040108	NA	NA
0.426033	49.297073	1.928690	-1.546000E-9	96.050852	4184.500000	709.044094	NA	NA
0.442783	49.224239	1.942411	4.853500E-9	96.034203	4140.900000	709.022614	NA	NA
0.459383	49.293082	1.955181	-6.925000E-9	96.020336	4100.800000	709.042928	NA	NA
0.476550	49.210561	1.967229	9.831000E-9	96.004844	4063.500000	709.018589	NA	NA
0.492967	49.305784	1.978716	-8.903250E-9	96.001070	4028.500000	709.046684	NA	NA
0.509700	49.113570	1.990647	-3.060500E-9	95.974563	3992.800000	708.989976	NA	NA
0.526033	49.250011	2.002066	4.699000E-9	95.971750	3959.300000	709.030242	NA	NA
0.543017	49.269804	2.012637	-8.594000E-9	95.977961	3928.900000	709.036086	NA	NA
0.559367	49.347054	2.022848	-2.782000E-9	95.984852	3900.100000	709.058873	NA	NA
0.576200	49.264180	2.032753	8.655000E-10	95.992187	3872.700000	709.034435	NA	NA
0.593167	49.375088	2.042368	1.109825E-8	95.997250	3846.600000	709.067148	NA	NA
0.609300	49.306271	2.051749	-4.544750E-9	95.999055	3821.600000	709.046858	NA	NA
0.626017	49.352827	2.060955	1.483500E-9	95.999562	3797.500000	709.060592	NA	NA
0.642667	49.205699	2.069934	-6.801250E-9	95.999859	3774.400000	709.017198	NA	NA
0.659300	49.215462	2.078707	-3.740500E-9	95.999891	3752.200000	709.020082	NA	NA
0.676133	49.088869	2.087259	-5.008250E-9	95.999938	3730.900000	708.982726	NA	NA
0.692450	49.275970	2.095574	-1.360250E-9	95.999883	3710.500000	709.037940	NA	NA
0.709017	49.207976	2.103553	8.470750E-9	95.999938	3691.200000	709.017884	NA	NA
0.725683	49.298201	2.111094	-6.059250E-9	95.999914	3673.200000	709.044503	NA	NA
0.742367	49.206163	2.118858	4.111750E-9	95.999898	3654.900000	709.017355	NA	NA
0.759000	49.345595	2.131754	9.861750E-9	95.999797	3625.000000	709.058489	NA	NA
0.775683	49.180310	2.144022	8.717750E-9	95.999727	3597.100000	709.009738	NA	NA
0.792333	49.357318	2.155790	-1.245850E-8	95.999672	3570.800000	709.061957	NA	NA
0.809033	49.145822	2.167387	6.646500E-9	95.999727	3545.300000	708.999570	NA	NA
0.825717	49.351737	2.178003	7.914250E-9	95.999727	3522.300000	709.060320	NA	NA
