#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.056500	46.166890	291.991042	5.200344E-6	16.999975	59.000000	709.054341	NA	NA
0.074850	45.950275	291.991042	5.178642E-6	17.000002	59.000000	708.989518	NA	NA
0.091583	46.071683	291.354503	5.113970E-6	16.999924	59.100000	709.021421	NA	NA
0.108333	46.177282	291.354503	5.136630E-6	16.999969	59.100000	709.053013	NA	NA
0.124883	46.124147	291.354503	5.225168E-6	17.000092	59.100000	709.037118	NA	NA
0.141600	46.095372	291.991042	5.166647E-6	17.000010	59.000000	709.032945	NA	NA
0.158200	46.249446	291.354503	5.132209E-6	16.999947	59.100000	709.074595	NA	NA
0.174733	46.303801	291.354503	5.222788E-6	16.999992	59.100000	709.090846	NA	NA
0.191467	46.219819	291.991042	5.176479E-6	17.000025	59.000000	709.070171	NA	NA
0.208200	46.094667	291.354503	5.114990E-6	17.000049	59.100000	709.028298	NA	NA
0.224817	46.147953	291.354503	5.184547E-6	16.999998	59.100000	709.044240	NA	NA
0.241467	46.276286	291.354503	5.213236E-6	17.000004	59.100000	709.082620	NA	NA
0.258200	46.231240	291.354503	5.110693E-6	16.999979	59.100000	709.069150	NA	NA
0.275217	46.090772	291.354503	5.140278E-6	16.999955	59.100000	709.027133	NA	NA
0.291500	46.203396	291.354503	5.226869E-6	17.000010	59.100000	709.060824	NA	NA
0.308200	46.196347	291.354503	5.137249E-6	17.000033	59.100000	709.058715	NA	NA
0.324817	46.184638	291.354503	5.115516E-6	16.999965	59.100000	709.055213	NA	NA
0.341517	46.142932	291.354503	5.202632E-6	16.999951	59.100000	709.042738	NA	NA
0.358100	46.183926	291.354503	5.198273E-6	16.999977	59.100000	709.055000	NA	NA
0.375167	46.073562	291.991042	5.151809E-6	16.999910	59.000000	709.026419	NA	NA
0.391467	46.148319	291.991042	5.151562E-6	16.999994	59.000000	709.048786	NA	NA
0.408183	46.228914	291.354503	5.224674E-6	17.000078	59.100000	709.068455	NA	NA
0.424833	46.128915	291.354503	5.182012E-6	17.000062	59.100000	709.038545	NA	NA
0.441500	46.060885	291.354503	5.109611E-6	17.000008	59.100000	709.018189	NA	NA
0.458533	46.052883	291.991042	5.150882E-6	17.000008	59.000000	709.020231	NA	NA
0.474817	46.221426	291.354503	5.210082E-6	17.000023	59.100000	709.066216	NA	NA
0.491517	46.213563	291.354503	5.101821E-6	16.999988	59.100000	709.063864	NA	NA
0.508067	46.243318	291.354503	5.170759E-6	16.999908	59.100000	709.072762	NA	NA
0.524850	46.115347	291.354503	5.223561E-6	17.000086	59.100000	709.034485	NA	NA
0.541467	46.152227	291.354503	5.148192E-6	17.000029	59.100000	709.045518	NA	NA
0.558150	46.166197	291.354503	5.115824E-6	16.999938	59.100000	709.049697	NA	NA
0.574750	46.122705	291.354503	5.225199E-6	16.999912	59.100000	709.036687	NA	NA
0.591483	46.242228	291.354503	5.172460E-6	16.999871	59.100000	709.072436	NA	NA
0.608067	46.247652	291.354503	5.118298E-6	16.999881	59.100000	709.074058	NA	NA
0.624717	46.141564	291.354503	5.176664E-6	16.999986	59.100000	709.042329	NA	NA
0.641467	46.252236	291.354503	5.179199E-6	16.999988	59.100000	709.075429	NA	NA
0.658183	46.488317	291.354503	5.104263E-6	16.999953	59.100000	709.145987	NA	NA
0.674817	46.234632	291.354503	5.163093E-6	17.000031	59.100000	709.070165	NA	NA
0.691383	46.042089	291.354503	5.210701E-6	17.000043	59.100000	709.012564	NA	NA
0.708117	46.169299	291.354503	5.163897E-6	17.000139	59.100000	709.050625	NA	NA
0.724800	46.138960	291.354503	5.124759E-6	17.000070	59.100000	709.041550	NA	NA
0.741433	46.112441	291.354503	5.191658E-6	17.000037	59.100000	709.033616	NA	NA
