Data collection values for: 1_ReMoB2_0p25GPa_0psi_P1

Sample stack: BMDHP, Detector: 1M

Timestamp              File Name                         Cen X    Cen Y    Sam Z   Det. Y    Start      End  Images  Exp. time        CPS

10 Jul 2022 12:40:21   1_ReMoB2_0p25GPa_0psi_P1_C1_D1w_001.tif    5.606   -0.774   -0.376   90.000    -2.00     2.00     1       40.000     306183
10 Jul 2022 12:41:06   1_ReMoB2_0p25GPa_0psi_P1_C2_D1w_002.tif    5.606   -0.803   -0.389   90.000    -2.00     2.00     1       40.000     306242
10 Jul 2022 12:41:51   1_ReMoB2_0p25GPa_0psi_P1_C3_D1w_003.tif    5.606   -0.818   -0.417   90.000    -2.00     2.00     1       40.000     306239
10 Jul 2022 12:42:36   1_ReMoB2_0p25GPa_0psi_P1_C4_D1w_004.tif    5.606   -0.792   -0.470   90.000    -2.00     2.00     1       40.000     306089
10 Jul 2022 12:43:21   1_ReMoB2_0p25GPa_0psi_P1_C5_D1w_005.tif    5.606   -0.766   -0.474   90.000    -2.00     2.00     1       40.000     305996
10 Jul 2022 12:44:06   1_ReMoB2_0p25GPa_0psi_P1_C6_D1w_006.tif    5.606   -0.732   -0.454   90.000    -2.00     2.00     1       40.000     305935
10 Jul 2022 12:47:39   1_ReMoB2_0p25GPa_0psi_P1_C7_D1w_007.tif    5.606   -0.733   -0.418   90.000    -2.00     2.00     1       40.000     305611
10 Jul 2022 12:48:24   1_ReMoB2_0p25GPa_0psi_P1_C8_D1w_008.tif    5.606   -0.748   -0.394   90.000    -2.00     2.00     1       40.000     305593
10 Jul 2022 13:14:44   1_ReMoB2_0p25GPa_0psi_P1_C1_D1w_009.tif    5.606   -0.808   -0.392   90.000    -2.00     2.00     1       40.000     303063
10 Jul 2022 13:15:29   1_ReMoB2_0p25GPa_0psi_P1_C2_D1w_010.tif    5.606   -0.820   -0.417   90.000    -2.00     2.00     1       40.000     303020
10 Jul 2022 13:40:14   1_ReMoB2_0p25GPa_0psi_P1_C1_D1w_011.tif    5.607   -0.794   -0.372   90.000    -2.00     2.00     1       40.000     300564
10 Jul 2022 13:40:59   1_ReMoB2_0p25GPa_0psi_P1_C2_D1w_012.tif    5.607   -0.828   -0.384   90.000    -2.00     2.00     1       40.000     300438
10 Jul 2022 13:41:44   1_ReMoB2_0p25GPa_0psi_P1_C3_D1w_013.tif    5.607   -0.845   -0.410   90.000    -2.00     2.00     1       40.000     300470
10 Jul 2022 13:42:29   1_ReMoB2_0p25GPa_0psi_P1_C4_D1w_014.tif    5.607   -0.838   -0.453   90.000    -2.00     2.00     1       40.000     300304
10 Jul 2022 13:43:14   1_ReMoB2_0p25GPa_0psi_P1_C5_D1w_015.tif    5.607   -0.819   -0.475   90.000    -2.00     2.00     1       40.000     300246
10 Jul 2022 13:43:59   1_ReMoB2_0p25GPa_0psi_P1_C6_D1w_016.tif    5.607   -0.794   -0.477   90.000    -2.00     2.00     1       40.000     300135
10 Jul 2022 13:44:44   1_ReMoB2_0p25GPa_0psi_P1_C7_D1w_017.tif    5.607   -0.768   -0.468   90.000    -2.00     2.00     1       40.000     300063
10 Jul 2022 13:45:29   1_ReMoB2_0p25GPa_0psi_P1_C8_D1w_018.tif    5.607   -0.753   -0.446   90.000    -2.00     2.00     1       40.000     299951
10 Jul 2022 13:46:14   1_ReMoB2_0p25GPa_0psi_P1_C9_D1w_019.tif    5.607   -0.745   -0.423   90.000    -2.00     2.00     1       40.000     299946
